Time,ECG,PPG,HR
18:50:01,-1313,-17727,-2400
18:50:01,-928,-17697,-2325
18:50:01,-928,-17697,-2325
18:50:01,-928,-17697,-2325
18:50:01,-928,-17697,-2325
18:50:01,-793,-17694,-2311
18:50:01,-793,-17694,-2311
18:50:01,-793,-17694,-2311
18:50:01,-793,-17694,-2311
18:50:01,-1137,-17697,-2299
18:50:01,-1137,-17697,-2299
18:50:01,-1137,-17697,-2299
18:50:01,-1137,-17697,-2299
18:50:01,-1102,-17715,-2305
18:50:01,-1102,-17715,-2305
18:50:01,-1102,-17715,-2305
18:50:01,-1102,-17715,-2305
18:50:01,-1130,-17719,-2321
18:50:01,-1130,-17719,-2321
18:50:01,-1130,-17719,-2321
18:50:01,-1130,-17719,-2321
18:50:01,-976,-17724,-2328
18:50:01,-976,-17724,-2328
18:50:01,-976,-17724,-2328
18:50:01,-976,-17724,-2328
18:50:01,-735,-17744,-2347
18:50:01,-735,-17744,-2347
18:50:01,-735,-17744,-2347
18:50:01,-735,-17744,-2347
18:50:01,-658,-17793,-2439
18:50:01,-658,-17793,-2439
18:50:01,-658,-17793,-2439
18:50:01,-658,-17793,-2439
18:50:01,-713,-17879,-2641
18:50:01,-713,-17879,-2641
18:50:01,-713,-17879,-2641
18:50:01,-713,-17879,-2641
18:50:01,-516,-17976,-2869
18:50:01,-516,-17976,-2869
18:50:01,-516,-17976,-2869
18:50:01,-516,-17976,-2869
18:50:01,-565,-18094,-3153
18:50:01,-565,-18094,-3153
18:50:01,-565,-18094,-3153
18:50:01,-565,-18094,-3153
18:50:01,-518,-18208,-3454
18:50:01,-518,-18208,-3454
18:50:01,-518,-18208,-3454
18:50:01,-518,-18208,-3454
18:50:01,-507,-18318,-3716
18:50:01,-507,-18318,-3716
18:50:01,-507,-18318,-3716
18:50:01,-507,-18318,-3716
18:50:01,-646,-18386,-3889
18:50:01,-646,-18386,-3889
18:50:01,-646,-18386,-3889
18:50:01,-646,-18386,-3889
18:50:01,-446,-18452,-4000
18:50:01,-446,-18452,-4000
18:50:01,-446,-18452,-4000
18:50:01,-446,-18452,-4000
18:50:01,-476,-18481,-4069
18:50:01,-476,-18481,-4069
18:50:01,-476,-18481,-4069
18:50:01,-476,-18481,-4069
18:50:01,-606,-18512,-4082
18:50:01,-606,-18512,-4082
18:50:01,-606,-18512,-4082
18:50:01,-606,-18512,-4082
18:50:01,-584,-18536,-4081
18:50:01,-584,-18536,-4081
18:50:01,-584,-18536,-4081
18:50:01,-584,-18536,-4081
18:50:01,-632,-18518,-4036
18:50:01,-632,-18518,-4036
18:50:01,-632,-18518,-4036
18:50:01,-632,-18518,-4036
18:50:01,-535,-18493,-3963
18:50:01,-535,-18493,-3963
18:50:01,-535,-18493,-3963
18:50:01,-535,-18493,-3963
18:50:01,-618,-18498,-3945
18:50:01,-618,-18498,-3945
18:50:01,-618,-18498,-3945
18:50:01,-618,-18498,-3945
18:50:01,-576,-18503,-3938
18:50:01,-576,-18503,-3938
18:50:01,-576,-18503,-3938
18:50:01,-576,-18503,-3938
18:50:01,-618,-18533,-3948
18:50:01,-618,-18533,-3948
18:50:01,-618,-18533,-3948
18:50:01,-618,-18533,-3948
18:50:01,-639,-18545,-3967
18:50:01,-639,-18545,-3967
18:50:01,-639,-18545,-3967
18:50:01,-639,-18545,-3967
18:50:01,-562,-18554,-3974
18:50:01,-562,-18554,-3974
18:50:01,-562,-18554,-3974
18:50:01,-562,-18554,-3974
18:50:01,-635,-18543,-3960
18:50:01,-635,-18543,-3960
18:50:01,-635,-18543,-3960
18:50:01,-635,-18543,-3960
18:50:01,-611,-18531,-3913
18:50:01,-611,-18531,-3913
18:50:01,-611,-18531,-3913
18:50:01,-611,-18531,-3913
18:50:01,-777,-18515,-3855
18:50:01,-777,-18515,-3855
18:50:02,-777,-18515,-3855
18:50:02,-777,-18515,-3855
18:50:02,-658,-18486,-3803
18:50:02,-658,-18486,-3803
18:50:02,-658,-18486,-3803
18:50:02,-658,-18486,-3803
18:50:02,-744,-18459,-3719
18:50:02,-744,-18459,-3719
18:50:02,-744,-18459,-3719
18:50:02,-744,-18459,-3719
18:50:02,-760,-18432,-3633
18:50:02,-760,-18432,-3633
18:50:02,-760,-18432,-3633
18:50:02,-760,-18432,-3633
18:50:02,-641,-18405,-3563
18:50:02,-641,-18405,-3563
18:50:02,-641,-18405,-3563
18:50:02,-641,-18405,-3563
18:50:02,-873,-18369,-3487
18:50:02,-873,-18369,-3487
18:50:02,-873,-18369,-3487
18:50:02,-873,-18369,-3487
18:50:02,-764,-18322,-3403
18:50:02,-764,-18322,-3403
18:50:02,-764,-18322,-3403
18:50:02,-764,-18322,-3403
18:50:02,-935,-18288,-3313
18:50:02,-935,-18288,-3313
18:50:02,-935,-18288,-3313
18:50:02,-935,-18288,-3313
18:50:02,-896,-18248,-3230
18:50:02,-896,-18248,-3230
18:50:02,-896,-18248,-3230
18:50:02,-896,-18248,-3230
18:50:02,-841,-18208,-3160
18:50:02,-841,-18208,-3160
18:50:02,-841,-18208,-3160
18:50:02,-841,-18208,-3160
18:50:02,-951,-18173,-3082
18:50:02,-951,-18173,-3082
18:50:02,-951,-18173,-3082
18:50:02,-951,-18173,-3082
18:50:02,-850,-18151,-3048
18:50:02,-850,-18151,-3048
18:50:02,-850,-18151,-3048
18:50:02,-850,-18151,-3048
18:50:02,-915,-18153,-3033
18:50:02,-915,-18153,-3033
18:50:02,-915,-18153,-3033
18:50:02,-915,-18153,-3033
18:50:02,-960,-18175,-3041
18:50:02,-960,-18175,-3041
18:50:02,-960,-18175,-3041
18:50:02,-960,-18175,-3041
18:50:02,-1010,-18199,-3066
18:50:02,-1010,-18199,-3066
18:50:02,-1010,-18199,-3066
18:50:02,-1010,-18199,-3066
18:50:02,-943,-18243,-3149
18:50:02,-943,-18243,-3149
18:50:02,-943,-18243,-3149
18:50:02,-943,-18243,-3149
18:50:02,-1059,-18286,-3189
