Time,ECG,PPG,HR
13:22:20,-1646,-13463,-1638
13:22:20,-1646,-13463,-1638
13:22:20,-1715,-13446,-1616
13:22:20,-1715,-13446,-1616
13:22:20,-1715,-13446,-1616
13:22:20,-1715,-13446,-1616
13:22:20,-1650,-13470,-1645
13:22:20,-1650,-13470,-1645
13:22:20,-1650,-13470,-1645
13:22:20,-1650,-13470,-1645
13:22:20,-1872,-13478,-1677
13:22:20,-1872,-13478,-1677
13:22:20,-1872,-13478,-1677
13:22:20,-1872,-13478,-1677
13:22:20,-1657,-13490,-1688
13:22:20,-1657,-13490,-1688
13:22:20,-1657,-13490,-1688
13:22:20,-1657,-13490,-1688
13:22:20,-1505,-13488,-1705
13:22:20,-1505,-13488,-1705
13:22:20,-1505,-13488,-1705
13:22:20,-1505,-13488,-1705
13:22:20,-1587,-13484,-1690
13:22:20,-1587,-13484,-1690
13:22:20,-1587,-13484,-1690
13:22:20,-1587,-13484,-1690
13:22:20,-1581,-13480,-1677
13:22:20,-1581,-13480,-1677
13:22:20,-1581,-13480,-1677
13:22:20,-1581,-13480,-1677
13:22:20,-1493,-13468,-1662
13:22:20,-1493,-13468,-1662
13:22:20,-1493,-13468,-1662
13:22:20,-1493,-13468,-1662
13:22:20,-1502,-13465,-1657
13:22:20,-1502,-13465,-1657
13:22:20,-1502,-13465,-1657
13:22:20,-1502,-13465,-1657
13:22:20,-1657,-13460,-1627
13:22:20,-1657,-13460,-1627
13:22:20,-1657,-13460,-1627
13:22:20,-1657,-13460,-1627
13:22:20,-1529,-13449,-1605
13:22:20,-1529,-13449,-1605
13:22:20,-1529,-13449,-1605
13:22:20,-1529,-13449,-1605
13:22:20,-1419,-13445,-1585
13:22:20,-1419,-13445,-1585
13:22:20,-1419,-13445,-1585
13:22:20,-1419,-13445,-1585
13:22:20,-1421,-13429,-1554
13:22:20,-1421,-13429,-1554
13:22:20,-1421,-13429,-1554
13:22:20,-1421,-13429,-1554
13:22:20,-1435,-13419,-1544
13:22:20,-1435,-13419,-1544
13:22:20,-1435,-13419,-1544
13:22:20,-1435,-13419,-1544
13:22:20,-1639,-13412,-1520
13:22:20,-1639,-13412,-1520
13:22:20,-1639,-13412,-1520
13:22:20,-1639,-13412,-1520
13:22:20,-1480,-13412,-1533
13:22:20,-1480,-13412,-1533
13:22:20,-1480,-13412,-1533
13:22:20,-1480,-13412,-1533
13:22:20,-1321,-13420,-1529
13:22:20,-1321,-13420,-1529
13:22:20,-1321,-13420,-1529
13:22:20,-1321,-13420,-1529
13:22:20,-1474,-13414,-1524
13:22:20,-1474,-13414,-1524
13:22:20,-1474,-13414,-1524
13:22:20,-1474,-13414,-1524
13:22:20,-1454,-13424,-1524
13:22:20,-1454,-13424,-1524
13:22:20,-1454,-13424,-1524
13:22:20,-1454,-13424,-1524
13:22:20,-1348,-13424,-1528
13:22:20,-1348,-13424,-1528
13:22:20,-1348,-13424,-1528
13:22:20,-1348,-13424,-1528
13:22:20,-1390,-13422,-1530
13:22:20,-1390,-13422,-1530
13:22:20,-1390,-13422,-1530
13:22:20,-1390,-13422,-1530
13:22:20,-1268,-13430,-1521
13:22:20,-1268,-13430,-1521
13:22:20,-1268,-13430,-1521
13:22:20,-1268,-13430,-1521
13:22:20,-1242,-13438,-1542
13:22:20,-1242,-13438,-1542
13:22:20,-1242,-13438,-1542
13:22:20,-1242,-13438,-1542
13:22:20,-1349,-13467,-1583
13:22:20,-1349,-13467,-1583
13:22:20,-1349,-13467,-1583
13:22:20,-1349,-13467,-1583
13:22:20,-1206,-13478,-1613
13:22:20,-1206,-13478,-1613
13:22:20,-1206,-13478,-1613
13:22:20,-1206,-13478,-1613
13:22:20,-1162,-13486,-1618
13:22:20,-1162,-13486,-1618
13:22:20,-1162,-13486,-1618
13:22:20,-1162,-13486,-1618
13:22:20,-1071,-13483,-1640
13:22:20,-1071,-13483,-1640
13:22:20,-1071,-13483,-1640
13:22:20,-1071,-13483,-1640
13:22:20,-1027,-13501,-1669
13:22:20,-1027,-13501,-1669
13:22:20,-1027,-13501,-1669
13:22:20,-1027,-13501,-1669
13:22:20,-1194,-13523,-1702
13:22:20,-1194,-13523,-1702
13:22:20,-1194,-13523,-1702
13:22:20,-1194,-13523,-1702
13:22:20,-944,-13534,-1748
13:22:20,-944,-13534,-1748
13:22:20,-944,-13534,-1748
13:22:20,-944,-13534,-1748
13:22:20,-952,-13541,-1756
13:22:20,-952,-13541,-1756
13:22:20,-952,-13541,-1756
13:22:20,-952,-13541,-1756
13:22:20,-926,-13529,-1748
13:22:20,-926,-13529,-1748
13:22:20,-926,-13529,-1748
13:22:20,-926,-13529,-1748
13:22:20,-856,-13540,-1733
13:22:20,-856,-13540,-1733
13:22:20,-856,-13540,-1733
13:22:20,-856,-13540,-1733
13:22:20,-816,-13528,-1724
13:22:20,-816,-13528,-1724
13:22:20,-816,-13528,-1724
13:22:20,-816,-13528,-1724
13:22:20,-835,-13529,-1713
13:22:20,-835,-13529,-1713
13:22:20,-835,-13529,-1713
13:22:20,-835,-13529,-1713
13:22:20,-742,-13532,-1702
13:22:20,-742,-13532,-1702
13:22:20,-742,-13532,-1702
13:22:20,-742,-13532,-1702
13:22:20,-696,-13516,-1677
13:22:20,-696,-13516,-1677
13:22:20,-696,-13516,-1677
13:22:20,-696,-13516,-1677
13:22:20,-648,-13511,-1669
13:22:20,-648,-13511,-1669
13:22:20,-648,-13511,-1669
13:22:20,-648,-13511,-1669
13:22:20,-733,-13508,-1655
13:22:21,-733,-13508,-1655
13:22:21,-733,-13508,-1655
13:22:21,-733,-13508,-1655
13:22:21,-668,-13508,-1664
13:22:21,-668,-13508,-1664
13:22:21,-668,-13508,-1664
13:22:21,-668,-13508,-1664
13:22:21,-598,-13508,-1657
13:22:21,-598,-13508,-1657
13:22:21,-598,-13508,-1657
13:22:21,-598,-13508,-1657
13:22:21,-419,-13504,-1665
13:22:21,-419,-13504,-1665
13:22:21,-419,-13504,-1665
13:22:21,-419,-13504,-1665
13:22:21,-446,-13504,-1659
13:22:21,-446,-13504,-1659
13:22:21,-446,-13504,-1659
13:22:21,-446,-13504,-1659
13:22:21,-472,-13510,-1655
13:22:21,-472,-13510,-1655
13:22:21,-472,-13510,-1655
13:22:21,-472,-13510,-1655
13:22:21,-504,-13498,-1662
13:22:21,-504,-13498,-1662
13:22:21,-504,-13498,-1662
13:22:21,-504,-13498,-1662
13:22:21,-325,-13507,-1644
13:22:21,-325,-13507,-1644
13:22:21,-325,-13507,-1644
13:22:21,-325,-13507,-1644
13:22:21,-45,-13499,-1625
13:22:21,-45,-13499,-1625
13:22:21,-45,-13499,-1625
13:22:21,-45,-13499,-1625
13:22:21,-123,-13487,-1595
13:22:21,-123,-13487,-1595
13:22:21,-123,-13487,-1595
13:22:21,-123,-13487,-1595
13:22:21,-165,-13483,-1586
13:22:21,-165,-13483,-1586
13:22:21,-165,-13483,-1586
13:22:21,-165,-13483,-1586
13:22:21,-106,-13484,-1561
13:22:21,-106,-13484,-1561
13:22:21,-106,-13484,-1561
13:22:21,-106,-13484,-1561
13:22:21,29,-13476,-1530
13:22:21,29,-13476,-1530
13:22:21,29,-13476,-1530
13:22:21,29,-13476,-1530
13:22:21,203,-13476,-1550
13:22:21,203,-13476,-1550
13:22:21,203,-13476,-1550
13:22:21,203,-13476,-1550
13:22:21,69,-13484,-1555
13:22:21,69,-13484,-1555
13:22:21,69,-13484,-1555
13:22:21,69,-13484,-1555
13:22:21,121,-13498,-1584
13:22:21,121,-13498,-1584
13:22:21,121,-13498,-1584
13:22:21,121,-13498,-1584
13:22:21,262,-13509,-1608
13:22:21,262,-13509,-1608
13:22:21,262,-13509,-1608
13:22:21,262,-13509,-1608
13:22:21,372,-13521,-1628
13:22:21,372,-13521,-1628
13:22:21,372,-13521,-1628
13:22:21,372,-13521,-1628
13:22:21,434,-13528,-1635
13:22:21,434,-13528,-1635
13:22:21,434,-13528,-1635
13:22:21,434,-13528,-1635
13:22:21,450,-13531,-1627
13:22:21,450,-13531,-1627
13:22:21,450,-13531,-1627
13:22:21,450,-13531,-1627
13:22:21,498,-13521,-1619
13:22:21,498,-13521,-1619
13:22:21,498,-13521,-1619
13:22:21,498,-13521,-1619
13:22:21,648,-13522,-1608
13:22:21,648,-13522,-1608
13:22:21,648,-13522,-1608
13:22:21,648,-13522,-1608
13:22:21,583,-13528,-1607
13:22:21,583,-13528,-1607
13:22:21,583,-13528,-1607
13:22:21,583,-13528,-1607
13:22:21,699,-13531,-1622
13:22:21,699,-13531,-1622
13:22:21,699,-13531,-1622
13:22:21,699,-13531,-1622
13:22:21,893,-13530,-1612
13:22:21,893,-13530,-1612
13:22:21,893,-13530,-1612
13:22:21,893,-13530,-1612
13:22:21,881,-13533,-1613
13:22:21,881,-13533,-1613
13:22:21,881,-13533,-1613
13:22:21,881,-13533,-1613
13:22:21,891,-13530,-1599
13:22:21,891,-13530,-1599
13:22:21,891,-13530,-1599
13:22:21,891,-13530,-1599
13:22:21,960,-13529,-1577
13:22:21,960,-13529,-1577
13:22:21,960,-13529,-1577
13:22:21,960,-13529,-1577
13:22:21,1175,-13526,-1583
13:22:21,1175,-13526,-1583
13:22:21,1175,-13526,-1583
13:22:21,1175,-13526,-1583
13:22:21,1137,-13537,-1613
13:22:21,1137,-13537,-1613
13:22:21,1137,-13537,-1613
13:22:21,1137,-13537,-1613
13:22:21,1111,-13531,-1600
13:22:21,1111,-13531,-1600
13:22:21,1111,-13531,-1600
13:22:21,1111,-13531,-1600
13:22:21,1171,-13517,-1591
13:22:21,1171,-13517,-1591
13:22:21,1171,-13517,-1591
13:22:21,1171,-13517,-1591
13:22:21,1255,-13501,-1556
13:22:21,1255,-13501,-1556
13:22:21,1255,-13501,-1556
13:22:21,1255,-13501,-1556
13:22:21,1478,-13467,-1520
13:22:21,1478,-13467,-1520
13:22:21,1478,-13467,-1520
13:22:21,1478,-13467,-1520
13:22:21,1485,-13439,-1475
13:22:21,1485,-13439,-1475
13:22:21,1485,-13439,-1475
13:22:21,1485,-13439,-1475
13:22:21,1509,-13431,-1469
13:22:21,1509,-13431,-1469
13:22:21,1509,-13431,-1469
13:22:21,1509,-13431,-1469
13:22:21,1592,-13424,-1460
13:22:21,1592,-13424,-1460
13:22:21,1592,-13424,-1460
13:22:21,1592,-13424,-1460
13:22:21,1621,-13437,-1459
13:22:21,1621,-13437,-1459
13:22:21,1621,-13437,-1459
13:22:21,1621,-13437,-1459
13:22:21,1754,-13424,-1451
13:22:21,1754,-13424,-1451
13:22:21,1754,-13424,-1451
13:22:21,1754,-13424,-1451
13:22:21,1776,-13429,-1449
13:22:21,1776,-13429,-1449
13:22:21,1776,-13429,-1449
13:22:21,1776,-13429,-1449
13:22:21,1775,-13439,-1469
13:22:21,1775,-13439,-1469
13:22:21,1775,-13439,-1469
13:22:21,1775,-13439,-1469
13:22:21,1871,-13447,-1475
13:22:21,1871,-13447,-1475
13:22:21,1871,-13447,-1475
13:22:21,1871,-13447,-1475
13:22:21,1913,-13436,-1489
13:22:21,1913,-13436,-1489
13:22:21,1913,-13436,-1489
13:22:21,1913,-13436,-1489
13:22:21,1991,-13448,-1520
13:22:21,1991,-13448,-1520
13:22:21,1991,-13448,-1520
13:22:21,1991,-13448,-1520
13:22:21,2054,-13457,-1545
13:22:21,2054,-13457,-1545
13:22:21,2054,-13457,-1545
13:22:21,2054,-13457,-1545
13:22:21,2004,-13448,-1540
13:22:21,2004,-13448,-1540
13:22:21,2004,-13448,-1540
13:22:21,2004,-13448,-1540
13:22:21,2166,-13453,-1526
13:22:21,2166,-13453,-1526
13:22:21,2166,-13453,-1526
13:22:21,2166,-13453,-1526
13:22:21,2110,-13449,-1507
13:22:21,2110,-13449,-1507
13:22:21,2110,-13449,-1507
13:22:21,2110,-13449,-1507
13:22:21,2347,-13440,-1484
13:22:21,2347,-13440,-1484
13:22:21,2347,-13440,-1484
13:22:21,2347,-13440,-1484
13:22:21,2196,-13443,-1491
13:22:21,2196,-13443,-1491
13:22:21,2196,-13443,-1491
13:22:21,2196,-13443,-1491
13:22:22,2130,-13433,-1498
13:22:22,2130,-13433,-1498
13:22:22,2130,-13433,-1498
13:22:22,2130,-13433,-1498
13:22:22,2225,-13426,-1476
13:22:22,2225,-13426,-1476
13:22:22,2225,-13426,-1476
13:22:22,2225,-13426,-1476
13:22:22,2174,-13430,-1481
13:22:22,2174,-13430,-1481
13:22:22,2174,-13430,-1481
13:22:22,2174,-13430,-1481
13:22:22,2318,-13431,-1477
13:22:22,2318,-13431,-1477
13:22:22,2318,-13431,-1477
13:22:22,2318,-13431,-1477
13:22:22,2267,-13439,-1487
13:22:22,2267,-13439,-1487
13:22:22,2267,-13439,-1487
13:22:22,2267,-13439,-1487
13:22:22,2345,-13440,-1503
13:22:22,2345,-13440,-1503
13:22:22,2345,-13440,-1503
13:22:22,2345,-13440,-1503
13:22:22,2320,-13442,-1503
13:22:22,2320,-13442,-1503
13:22:22,2320,-13442,-1503
13:22:22,2320,-13442,-1503
13:22:22,2386,-13445,-1501
13:22:22,2386,-13445,-1501
13:22:22,2386,-13445,-1501
13:22:22,2386,-13445,-1501
13:22:22,2464,-13448,-1487
13:22:22,2464,-13448,-1487
13:22:22,2464,-13448,-1487
13:22:22,2464,-13448,-1487
13:22:22,2447,-13449,-1482
13:22:22,2447,-13449,-1482
13:22:22,2447,-13449,-1482
13:22:22,2447,-13449,-1482
13:22:22,2472,-13433,-1469
13:22:22,2472,-13433,-1469
13:22:22,2472,-13433,-1469
13:22:22,2472,-13433,-1469
13:22:22,2483,-13431,-1452
13:22:22,2483,-13431,-1452
13:22:22,2483,-13431,-1452
13:22:22,2483,-13431,-1452
13:22:22,2548,-13425,-1441
13:22:22,2548,-13425,-1441
13:22:22,2548,-13425,-1441
13:22:22,2548,-13425,-1441
13:22:22,2410,-13435,-1438
13:22:22,2410,-13435,-1438
13:22:22,2410,-13435,-1438
13:22:22,2410,-13435,-1438
13:22:22,2338,-13436,-1440
13:22:22,2338,-13436,-1440
