Time,ECG,PPG,HR
13:18:24,972,-13843,-3202
13:18:24,972,-13843,-3202
13:18:24,829,-13865,-3256
13:18:24,829,-13865,-3256
13:18:24,829,-13865,-3256
13:18:24,829,-13865,-3256
13:18:24,1004,-13938,-3456
13:18:24,972,-13843,-3202
13:18:24,972,-13843,-3202
13:18:24,972,-13843,-3202
13:18:24,972,-13843,-3202
13:18:24,829,-13865,-3256
13:18:24,829,-13865,-3256
13:18:24,829,-13865,-3256
13:18:24,829,-13865,-3256
13:18:24,1004,-13938,-3456
13:18:25,2515,-26653,-26651
13:18:25,2515,-26653,-26651
13:18:25,2515,-26653,-26651
13:18:25,3470,-14274,-3280
13:18:25,3470,-14274,-3280
13:18:25,3470,-14274,-3280
13:18:25,3470,-14274,-3280
13:18:25,3680,-14278,-3278
13:18:25,3680,-14278,-3278
13:18:25,3680,-14278,-3278
13:18:25,3680,-14278,-3278
13:18:25,3479,-14281,-3287
13:18:25,3479,-14281,-3287
13:18:25,3479,-14281,-3287
13:18:25,3479,-14281,-3287
13:18:25,3524,-14279,-3273
13:18:25,3524,-14279,-3273
13:18:25,3524,-14279,-3273
13:18:25,3524,-14279,-3273
13:18:25,3429,-14274,-3266
13:18:25,3429,-14274,-3266
13:18:25,3429,-14274,-3266
13:18:25,3429,-14274,-3266
13:18:25,3373,-14279,-3272
13:18:25,3373,-14279,-3272
13:18:25,3373,-14279,-3272
13:18:25,3373,-14279,-3272
13:18:25,3414,-14268,-3268
13:18:25,3414,-14268,-3268
13:18:25,3414,-14268,-3268
13:18:25,3414,-14268,-3268
13:18:25,3231,-14271,-3263
13:18:25,3231,-14271,-3263
13:18:25,3231,-14271,-3263
13:18:25,3231,-14271,-3263
13:18:25,3174,-14284,-3258
13:18:25,3174,-14284,-3258
13:18:25,3174,-14284,-3258
13:18:25,3174,-14284,-3258
13:18:25,2957,-14278,-3261
13:18:25,2957,-14278,-3261
13:18:25,2957,-14278,-3261
13:18:25,2957,-14278,-3261
13:18:25,2911,-14283,-3254
13:18:25,2911,-14283,-3254
13:18:25,2911,-14283,-3254
13:18:25,2911,-14283,-3254
13:18:25,2871,-14286,-3259
13:18:25,2871,-14286,-3259
13:18:25,2871,-14286,-3259
13:18:25,2871,-14286,-3259
13:18:25,2774,-14287,-3237
13:18:25,2774,-14287,-3237
13:18:25,2774,-14287,-3237
13:18:25,2774,-14287,-3237
13:18:25,2562,-14289,-3250
13:18:25,2562,-14289,-3250
13:18:25,2562,-14289,-3250
13:18:25,2562,-14289,-3250
13:18:25,2508,-14282,-3252
13:18:25,2508,-14282,-3252
13:18:25,2508,-14282,-3252
13:18:25,2508,-14282,-3252
13:18:25,2437,-14283,-3245
13:18:25,2437,-14283,-3245
13:18:25,2437,-14283,-3245
13:18:25,2437,-14283,-3245
13:18:25,2461,-14285,-3239
13:18:26,2461,-14285,-3239
13:18:26,2461,-14285,-3239
13:18:26,2461,-14285,-3239
13:18:26,2331,-14280,-3233
13:18:26,2331,-14280,-3233
13:18:26,2331,-14280,-3233
13:18:26,2331,-14280,-3233
13:18:26,2335,-14281,-3230
13:18:26,2335,-14281,-3230
13:18:26,2335,-14281,-3230
13:18:26,2335,-14281,-3230
13:18:26,2136,-14277,-3226
13:18:26,2136,-14277,-3226
13:18:26,2136,-14277,-3226
13:18:26,2136,-14277,-3226
13:18:26,2056,-14274,-3220
13:18:26,2056,-14274,-3220
13:18:26,2056,-14274,-3220
13:18:26,2056,-14274,-3220
13:18:26,2006,-14274,-3227
13:18:26,2006,-14274,-3227
13:18:26,2006,-14274,-3227
13:18:26,2006,-14274,-3227
13:18:26,1938,-14279,-3213
13:18:26,1938,-14279,-3213
13:18:26,1938,-14279,-3213
13:18:26,1938,-14279,-3213
13:18:26,1872,-14282,-3212
13:18:26,1872,-14282,-3212
13:18:26,1872,-14282,-3212
13:18:26,1872,-14282,-3212
13:18:26,1609,-14281,-3217
13:18:26,1609,-14281,-3217
13:18:26,1609,-14281,-3217
13:18:26,1609,-14281,-3217
13:18:26,1475,-14286,-3262
13:18:26,1475,-14286,-3262
13:18:26,1475,-14286,-3262
13:18:26,1475,-14286,-3262
13:18:26,1457,-14317,-3335
13:18:26,1457,-14317,-3335
13:18:26,1457,-14317,-3335
13:18:26,1457,-14317,-3335
13:18:26,1196,-14343,-3415
13:18:26,1196,-14343,-3415
13:18:26,1196,-14343,-3415
13:18:26,1196,-14343,-3415
13:18:26,1193,-14352,-3424
13:18:26,1193,-14352,-3424
13:18:26,1193,-14352,-3424
13:18:26,1193,-14352,-3424
13:18:26,960,-14340,-3380
13:18:26,960,-14340,-3380
13:18:26,960,-14340,-3380
13:18:26,960,-14340,-3380
13:18:26,890,-14327,-3351
13:18:26,890,-14327,-3351
13:18:26,890,-14327,-3351
13:18:26,890,-14327,-3351
13:18:26,798,-14316,-3318
13:18:26,798,-14316,-3318
13:18:26,798,-14316,-3318
13:18:26,798,-14316,-3318
13:18:26,810,-14311,-3287
13:18:26,810,-14311,-3287
13:18:26,810,-14311,-3287
13:18:26,810,-14311,-3287
13:18:26,751,-14312,-3282
13:18:26,751,-14312,-3282
13:18:26,751,-14312,-3282
13:18:26,751,-14312,-3282
13:18:26,351,-14309,-3273
13:18:26,351,-14309,-3273
13:18:26,351,-14309,-3273
13:18:26,351,-14309,-3273
13:18:26,253,-14311,-3269
13:18:26,253,-14311,-3269
13:18:26,253,-14311,-3269
13:18:26,253,-14311,-3269
13:18:26,218,-14312,-3267
13:18:26,218,-14312,-3267
13:18:26,218,-14312,-3267
13:18:26,218,-14312,-3267
13:18:26,71,-14315,-3246
13:18:26,71,-14315,-3246
13:18:26,71,-14315,-3246
13:18:26,71,-14315,-3246
13:18:26,-8,-14302,-3248
13:18:26,-8,-14302,-3248
13:18:26,-8,-14302,-3248
13:18:26,-8,-14302,-3248
13:18:26,-180,-14303,-3252
13:18:26,-180,-14303,-3252
13:18:26,-180,-14303,-3252
13:18:26,-180,-14303,-3252
13:18:26,-169,-14302,-3242
13:18:26,-169,-14302,-3242
13:18:26,-169,-14302,-3242
13:18:26,-169,-14302,-3242
13:18:26,-148,-14299,-3237
13:18:26,-148,-14299,-3237
13:18:26,-148,-14299,-3237
13:18:26,-148,-14299,-3237
13:18:26,-193,-14310,-3231
13:18:26,-193,-14310,-3231
13:18:26,-193,-14310,-3231
13:18:26,-193,-14310,-3231
13:18:26,-313,-14302,-3225
13:18:26,-313,-14302,-3225
13:18:26,-313,-14302,-3225
13:18:26,-313,-14302,-3225
13:18:26,-318,-14302,-3220
13:18:26,-318,-14302,-3220
13:18:26,-318,-14302,-3220
13:18:26,-318,-14302,-3220
13:18:26,17,-14309,-3223
13:18:26,17,-14309,-3223
13:18:26,17,-14309,-3223
13:18:26,17,-14309,-3223
13:18:26,787,-14305,-3215
13:18:26,787,-14305,-3215
13:18:26,787,-14305,-3215
13:18:26,787,-14305,-3215
13:18:26,-433,-14312,-3218
13:18:26,-433,-14312,-3218
13:18:26,-433,-14312,-3218
13:18:26,-433,-14312,-3218
13:18:26,-451,-14304,-3206
13:18:26,-451,-14304,-3206
13:18:26,-451,-14304,-3206
13:18:26,-451,-14304,-3206
13:18:26,-425,-14308,-3204
13:18:26,-425,-14308,-3204
13:18:26,-425,-14308,-3204
13:18:26,-425,-14308,-3204
13:18:26,-632,-14302,-3187
13:18:26,-632,-14302,-3187
13:18:26,-632,-14302,-3187
13:18:26,-632,-14302,-3187
13:18:26,-697,-14302,-3201
13:18:26,-697,-14302,-3201
13:18:26,-697,-14302,-3201
13:18:26,-697,-14302,-3201
13:18:26,-816,-14307,-3183
13:18:26,-816,-14307,-3183
13:18:26,-816,-14307,-3183
13:18:26,-816,-14307,-3183
13:18:26,-857,-14314,-3178
13:18:26,-857,-14314,-3178
13:18:26,-857,-14314,-3178
13:18:26,-857,-14314,-3178
13:18:26,-1039,-14318,-3190
13:18:26,-1039,-14318,-3190
13:18:26,-1039,-14318,-3190
13:18:26,-1039,-14318,-3190
13:18:26,-1007,-14324,-3183
13:18:26,-1007,-14324,-3183
13:18:26,-1007,-14324,-3183
13:18:26,-1007,-14324,-3183
13:18:26,-1024,-14312,-3186
13:18:26,-1024,-14312,-3186
13:18:26,-1024,-14312,-3186
13:18:26,-1024,-14312,-3186
13:18:26,-1210,-14314,-3182
13:18:26,-1210,-14314,-3182
13:18:26,-1210,-14314,-3182
13:18:26,-1210,-14314,-3182
13:18:26,-1181,-14321,-3176
13:18:26,-1181,-14321,-3176
13:18:26,-1181,-14321,-3176
13:18:26,-1181,-14321,-3176
13:18:26,-1351,-14326,-3169
13:18:26,-1351,-14326,-3169
13:18:26,-1351,-14326,-3169
13:18:26,-1351,-14326,-3169
13:18:26,-1404,-14325,-3162
13:18:26,-1404,-14325,-3162
13:18:26,-1404,-14325,-3162
13:18:26,-1404,-14325,-3162
13:18:26,-1390,-14329,-3160
13:18:26,-1390,-14329,-3160
13:18:26,-1390,-14329,-3160
13:18:26,-1390,-14329,-3160
13:18:26,-1366,-14320,-3176
13:18:26,-1366,-14320,-3176
13:18:26,-1366,-14320,-3176
13:18:26,-1366,-14320,-3176
13:18:26,-1312,-14323,-3165
13:18:26,-1312,-14323,-3165
13:18:26,-1312,-14323,-3165
13:18:26,-1312,-14323,-3165
13:18:26,-1503,-14318,-3158
13:18:26,-1503,-14318,-3158
13:18:26,-1503,-14318,-3158
13:18:26,-1503,-14318,-3158
13:18:26,-1632,-14330,-3162
13:18:26,-1632,-14330,-3162
13:18:26,-1632,-14330,-3162
13:18:26,-1632,-14330,-3162
13:18:27,-1632,-14319,-3146
13:18:27,-1632,-14319,-3146
13:18:27,-1632,-14319,-3146
13:18:27,-1632,-14319,-3146
13:18:27,-1779,-14327,-3159
13:18:27,-1779,-14327,-3159
13:18:27,-1779,-14327,-3159
13:18:27,-1779,-14327,-3159
13:18:27,-1694,-14344,-3160
13:18:27,-1694,-14344,-3160
13:18:27,-1694,-14344,-3160
13:18:27,-1694,-14344,-3160
13:18:27,-1745,-14338,-3154
13:18:27,-1745,-14338,-3154
13:18:27,-1745,-14338,-3154
13:18:27,-1745,-14338,-3154
13:18:27,-1710,-14343,-3160
13:18:27,-1710,-14343,-3160
13:18:27,-1710,-14343,-3160
13:18:27,-1710,-14343,-3160
13:18:27,-1756,-14342,-3149
13:18:27,-1756,-14342,-3149
13:18:27,-1756,-14342,-3149
13:18:27,-1756,-14342,-3149
13:18:27,-1651,-14334,-3143
13:18:27,-1651,-14334,-3143
13:18:27,-1651,-14334,-3143
13:18:27,-1651,-14334,-3143
13:18:27,-1593,-14343,-3146
13:18:27,-1593,-14343,-3146
13:18:27,-1593,-14343,-3146
13:18:27,-1593,-14343,-3146
13:18:27,-1765,-14350,-3151
13:18:27,-1765,-14350,-3151
13:18:27,-1765,-14350,-3151
13:18:27,-1765,-14350,-3151
13:18:27,-1764,-14344,-3150
13:18:27,-1764,-14344,-3150
13:18:27,-1764,-14344,-3150
13:18:27,-1764,-14344,-3150
13:18:27,-1787,-14350,-3155
13:18:27,-1787,-14350,-3155
13:18:27,-1787,-14350,-3155
13:18:27,-1787,-14350,-3155
13:18:27,-1419,-14344,-3146
13:18:27,-1419,-14344,-3146
13:18:27,-1419,-14344,-3146
13:18:27,-1419,-14344,-3146
13:18:27,-1327,-14347,-3168
13:18:27,-1327,-14347,-3168
13:18:27,-1327,-14347,-3168
13:18:27,-1327,-14347,-3168
13:18:27,-1517,-14360,-3221
13:18:27,-1517,-14360,-3221
13:18:27,-1517,-14360,-3221
13:18:27,-1517,-14360,-3221
13:18:27,-1600,-14387,-3300
13:18:27,-1600,-14387,-3300
13:18:27,-1600,-14387,-3300
13:18:27,-1600,-14387,-3300
13:18:27,-1716,-14401,-3317
13:18:27,-1716,-14401,-3317
13:18:27,-1716,-14401,-3317
13:18:27,-1716,-14401,-3317
13:18:27,-1720,-14385,-3286
13:18:27,-1720,-14385,-3286
13:18:27,-1720,-14385,-3286
13:18:27,-1720,-14385,-3286
13:18:27,-1674,-14374,-3245
13:18:27,-1674,-14374,-3245
13:18:27,-1674,-14374,-3245
13:18:27,-1674,-14374,-3245
13:18:27,-1743,-14369,-3223
13:18:27,-1743,-14369,-3223
13:18:27,-1743,-14369,-3223
13:18:27,-1743,-14369,-3223
13:18:27,-1902,-14362,-3193
13:18:27,-1902,-14362,-3193
13:18:27,-1902,-14362,-3193
13:18:27,-1902,-14362,-3193
13:18:27,-2091,-14356,-3177
13:18:27,-2091,-14356,-3177
13:18:27,-2091,-14356,-3177
13:18:27,-2091,-14356,-3177
13:18:27,-1958,-14355,-3177
13:18:27,-1958,-14355,-3177
13:18:27,-1958,-14355,-3177
13:18:27,-1958,-14355,-3177
13:18:27,-2083,-14356,-3178
13:18:27,-2083,-14356,-3178
13:18:27,-2083,-14356,-3178
13:18:27,-2083,-14356,-3178
13:18:27,-2207,-14354,-3167
13:18:27,-2207,-14354,-3167
13:18:27,-2207,-14354,-3167
13:18:27,-2207,-14354,-3167
13:18:27,-2236,-14367,-3164
13:18:27,-2236,-14367,-3164
13:18:27,-2236,-14367,-3164
13:18:27,-2236,-14367,-3164
13:18:27,-2117,-14369,-3172
13:18:27,-2117,-14369,-3172
13:18:27,-2117,-14369,-3172
13:18:27,-2117,-14369,-3172
13:18:27,-2098,-14360,-3160
13:18:27,-2098,-14360,-3160
13:18:27,-2098,-14360,-3160
13:18:27,-2098,-14360,-3160
13:18:27,-2035,-14371,-3169
13:18:27,-2035,-14371,-3169
13:18:27,-2035,-14371,-3169
13:18:27,-2035,-14371,-3169
13:18:27,-2065,-14363,-3154
13:18:27,-2065,-14363,-3154
13:18:27,-2065,-14363,-3154
13:18:27,-2065,-14363,-3154
13:18:27,-2136,-14362,-3154
13:18:27,-2136,-14362,-3154
13:18:27,-2136,-14362,-3154
13:18:27,-2136,-14362,-3154
13:18:27,-2094,-14375,-3142
13:18:27,-2094,-14375,-3142
13:18:27,-2094,-14375,-3142
13:18:27,-2094,-14375,-3142
13:18:27,-2189,-14373,-3147
13:18:27,-2189,-14373,-3147
13:18:27,-2189,-14373,-3147
13:18:27,-2189,-14373,-3147
13:18:27,-1939,-14368,-3154
13:18:27,-1939,-14368,-3154
13:18:27,-1939,-14368,-3154
13:18:27,-1939,-14368,-3154
13:18:27,-2091,-14377,-3152
13:18:27,-2091,-14377,-3152
13:18:27,-2091,-14377,-3152
13:18:27,-2091,-14377,-3152
13:18:27,-2149,-14375,-3148
13:18:27,-2149,-14375,-3148
13:18:27,-2149,-14375,-3148
13:18:27,-2149,-14375,-3148
13:18:27,-1993,-14383,-3139
13:18:27,-1993,-14383,-3139
13:18:27,-1993,-14383,-3139
13:18:27,-1993,-14383,-3139
13:18:27,-2017,-14384,-3139
13:18:27,-2017,-14384,-3139
13:18:27,-2017,-14384,-3139
13:18:27,-2017,-14384,-3139
13:18:27,-1979,-14389,-3128
13:18:27,-1979,-14389,-3128
13:18:27,-1979,-14389,-3128
13:18:27,-1979,-14389,-3128
13:18:27,-1929,-14385,-3128
13:18:27,-1929,-14385,-3128
13:18:27,-1929,-14385,-3128
13:18:27,-1929,-14385,-3128
13:18:27,-1950,-14379,-3132
13:18:27,-1950,-14379,-3132
13:18:27,-1950,-14379,-3132
13:18:27,-1950,-14379,-3132
13:18:27,-1949,-14385,-3142
13:18:27,-1949,-14385,-3142
13:18:27,-1949,-14385,-3142
13:18:27,-1949,-14385,-3142
13:18:27,-1858,-14395,-3135
13:18:27,-1858,-14395,-3135
13:18:27,-1858,-14395,-3135
13:18:27,-1858,-14395,-3135
13:18:27,-1932,-14389,-3123
13:18:27,-1932,-14389,-3123
13:18:27,-1932,-14389,-3123
13:18:27,-1932,-14389,-3123
13:18:27,-1772,-14395,-3120
13:18:27,-1772,-14395,-3120
13:18:27,-1772,-14395,-3120
13:18:27,-1772,-14395,-3120
13:18:27,-1840,-14395,-3125
13:18:27,-1840,-14395,-3125
13:18:27,-1840,-14395,-3125
13:18:27,-1840,-14395,-3125
13:18:27,-1904,-14389,-3117
13:18:27,-1904,-14389,-3117
13:18:27,-1904,-14389,-3117
13:18:27,-1904,-14389,-3117
13:18:27,-1697,-14396,-3113
13:18:27,-1697,-14396,-3113
13:18:27,-1697,-14396,-3113
13:18:27,-1697,-14396,-3113
13:18:27,-1733,-14400,-3119
13:18:27,-1733,-14400,-3119
13:18:27,-1733,-14400,-3119
13:18:27,-1733,-14400,-3119
13:18:27,-1687,-14393,-3117
13:18:27,-1687,-14393,-3117
13:18:27,-1687,-14393,-3117
13:18:27,-1687,-14393,-3117
13:18:27,-1538,-14409,-3117
13:18:27,-1538,-14409,-3117
13:18:27,-1538,-14409,-3117
13:18:28,-1538,-14409,-3117
13:18:28,-1773,-14395,-3126
13:18:28,-1773,-14395,-3126
13:18:28,-1773,-14395,-3126
13:18:28,-1773,-14395,-3126
13:18:28,-1664,-14404,-3118
13:18:28,-1664,-14404,-3118
13:18:28,-1664,-14404,-3118
13:18:28,-1664,-14404,-3118
13:18:28,-1632,-14404,-3117
13:18:28,-1632,-14404,-3117
13:18:28,-1632,-14404,-3117
13:18:28,-1632,-14404,-3117
13:18:28,-1532,-14414,-3156
13:18:28,-1532,-14414,-3156
13:18:28,-1532,-14414,-3156
13:18:28,-1532,-14414,-3156
13:18:28,-1591,-14433,-3199
13:18:28,-1591,-14433,-3199
13:18:28,-1591,-14433,-3199
13:18:28,-1591,-14433,-3199
13:18:28,-1654,-14447,-3241
13:18:28,-1654,-14447,-3241
13:18:28,-1654,-14447,-3241
13:18:28,-1654,-14447,-3241
13:18:28,-1622,-14439,-3240
13:18:28,-1622,-14439,-3240
13:18:28,-1622,-14439,-3240
13:18:28,-1622,-14439,-3240
13:18:28,-1422,-14440,-3206
13:18:28,-1422,-14440,-3206
13:18:28,-1422,-14440,-3206
13:18:28,-1422,-14440,-3206
