TimeStamp,ECG,PPG,HR
13:20:10,-951,-16779,-2234
13:20:10,-951,-16779,-2234
13:20:10,-951,-16779,-2234
13:20:10,-951,-16779,-2234
13:20:10,-868,-16737,-2082
13:20:10,-868,-16737,-2082
13:20:10,-868,-16737,-2082
13:20:10,-868,-16737,-2082
13:20:10,-964,-16685,-1987
13:20:10,-964,-16685,-1987
13:20:10,-964,-16685,-1987
13:20:10,-964,-16685,-1987
13:20:10,-955,-16667,-1943
13:20:10,-955,-16667,-1943
13:20:10,-955,-16667,-1943
13:20:10,-955,-16667,-1943
13:20:10,-763,-16677,-1935
13:20:10,-763,-16677,-1935
13:20:10,-763,-16677,-1935
13:20:10,-763,-16677,-1935
13:20:10,-786,-16674,-1934
13:20:10,-786,-16674,-1934
13:20:10,-786,-16674,-1934
13:20:10,-786,-16674,-1934
13:20:10,-826,-16660,-1898
13:20:10,-826,-16660,-1898
13:20:10,-826,-16660,-1898
13:20:10,-826,-16660,-1898
13:20:10,-789,-16636,-1867
13:20:10,-789,-16636,-1867
13:20:10,-789,-16636,-1867
13:20:10,-789,-16636,-1867
13:20:10,-647,-16634,-1866
13:20:10,-647,-16634,-1866
13:20:10,-647,-16634,-1866
13:20:10,-647,-16634,-1866
13:20:10,-651,-16649,-1875
13:20:10,-651,-16649,-1875
13:20:10,-651,-16649,-1875
13:20:10,-651,-16649,-1875
13:20:10,-629,-16664,-1913
13:20:10,-629,-16664,-1913
13:20:10,-629,-16664,-1913
13:20:10,-629,-16664,-1913
13:20:10,-637,-16670,-1919
13:20:10,-637,-16670,-1919
13:20:10,-637,-16670,-1919
13:20:10,-637,-16670,-1919
13:20:10,-615,-16668,-1922
13:20:10,-615,-16668,-1922
13:20:10,-615,-16668,-1922
13:20:10,-615,-16668,-1922
13:20:10,-530,-16661,-1897
13:20:10,-530,-16661,-1897
13:20:10,-530,-16661,-1897
13:20:10,-530,-16661,-1897
13:20:10,-558,-16637,-1838
13:20:10,-558,-16637,-1838
13:20:10,-558,-16637,-1838
13:20:10,-558,-16637,-1838
13:20:10,-520,-16614,-1791
13:20:10,-520,-16614,-1791
13:20:10,-520,-16614,-1791
13:20:10,-520,-16614,-1791
13:20:10,-393,-16591,-1731
13:20:10,-393,-16591,-1731
13:20:10,-393,-16591,-1731
13:20:10,-393,-16591,-1731
13:20:10,-470,-16583,-1670
13:20:10,-470,-16583,-1670
13:20:10,-470,-16583,-1670
13:20:10,-470,-16583,-1670
13:20:10,-456,-16566,-1628
13:20:10,-456,-16566,-1628
13:20:10,-456,-16566,-1628
13:20:10,-456,-16566,-1628
13:20:10,-373,-16544,-1596
13:20:10,-373,-16544,-1596
13:20:10,-373,-16544,-1596
13:20:10,-373,-16544,-1596
13:20:10,-356,-16534,-1576
13:20:10,-356,-16534,-1576
13:20:10,-356,-16534,-1576
13:20:10,-356,-16534,-1576
13:20:10,-238,-16539,-1564
13:20:10,-238,-16539,-1564
13:20:10,-238,-16539,-1564
13:20:10,-238,-16539,-1564
13:20:11,-256,-16531,-1536
13:20:11,-256,-16531,-1536
13:20:11,-256,-16531,-1536
13:20:11,-256,-16531,-1536
13:20:11,-190,-16531,-1518
13:20:11,-190,-16531,-1518
13:20:11,-190,-16531,-1518
13:20:11,-190,-16531,-1518
13:20:11,-157,-16521,-1500
13:20:11,-157,-16521,-1500
13:20:11,-157,-16521,-1500
13:20:11,-157,-16521,-1500
13:20:11,-23,-16525,-1507
13:20:11,-23,-16525,-1507
13:20:11,-23,-16525,-1507
13:20:11,-23,-16525,-1507
13:20:11,-47,-16515,-1485
13:20:11,-47,-16515,-1485
13:20:11,-47,-16515,-1485
13:20:11,-47,-16515,-1485
13:20:11,-55,-16517,-1480
13:20:11,-55,-16517,-1480
13:20:11,-55,-16517,-1480
13:20:11,-55,-16517,-1480
13:20:11,50,-16502,-1466
13:20:11,50,-16502,-1466
13:20:11,50,-16502,-1466
13:20:11,50,-16502,-1466
13:20:11,108,-16496,-1451
13:20:11,108,-16496,-1451
13:20:11,108,-16496,-1451
13:20:11,108,-16496,-1451
13:20:11,159,-16500,-1430
13:20:11,159,-16500,-1430
13:20:11,159,-16500,-1430
